4/23 9:49:24  step===24600, Epoch 1/1000, accuracy = 0.317,avg_train_cost = 1.281, lastbatch_err = 0.399, time = 160.289,lr=0.00785678
4/23 9:50:37  step===24650, Epoch 1/1000, accuracy = 0.298,avg_train_cost = 1.842, lastbatch_err = 0.414, time = 232.858,lr=0.00785678
4/23 9:51:50  step===24700, Epoch 2/1000, accuracy = 0.317,avg_train_cost = 2.164, lastbatch_err = 0.388, time = 51.216,lr=0.00785678
4/23 9:53:3  step===24750, Epoch 2/1000, accuracy = 0.338,avg_train_cost = 2.146, lastbatch_err = 0.377, time = 123.762,lr=0.00785678
4/23 9:54:16  step===24800, Epoch 2/1000, accuracy = 0.327,avg_train_cost = 2.114, lastbatch_err = 0.385, time = 196.895,lr=0.00785678
4/23 9:55:28  step===24850, Epoch 3/1000, accuracy = 0.344,avg_train_cost = 1.343, lastbatch_err = 0.376, time = 29.219,lr=0.00785678
4/23 9:56:41  step===24900, Epoch 3/1000, accuracy = 0.320,avg_train_cost = 1.393, lastbatch_err = 0.398, time = 102.359,lr=0.00785678
4/23 9:57:54  step===24950, Epoch 3/1000, accuracy = 0.333,avg_train_cost = 1.412, lastbatch_err = 0.389, time = 175.040,lr=0.00785678
4/23 9:59:7  step===25000, Epoch 4/1000, accuracy = 0.362,avg_train_cost = 0.743, lastbatch_err = 0.371, time = 7.945,lr=0.00777822
4/23 10:0:20  step===25050, Epoch 4/1000, accuracy = 0.350,avg_train_cost = 0.818, lastbatch_err = 0.379, time = 80.586,lr=0.00777822
4/23 10:1:33  step===25100, Epoch 4/1000, accuracy = 0.359,avg_train_cost = 0.800, lastbatch_err = 0.360, time = 153.689,lr=0.00777822
4/23 10:2:46  step===25150, Epoch 4/1000, accuracy = 0.364,avg_train_cost = 0.841, lastbatch_err = 0.373, time = 226.240,lr=0.00777822
4/23 10:3:59  step===25200, Epoch 5/1000, accuracy = 0.373,avg_train_cost = 0.573, lastbatch_err = 0.346, time = 53.912,lr=0.00777822
4/23 10:5:11  step===25250, Epoch 5/1000, accuracy = 0.364,avg_train_cost = 0.535, lastbatch_err = 0.355, time = 126.635,lr=0.00777822
4/23 10:6:24  step===25300, Epoch 5/1000, accuracy = 0.321,avg_train_cost = 0.520, lastbatch_err = 0.382, time = 199.750,lr=0.00777822
4/23 10:7:38  step===25350, Epoch 6/1000, accuracy = 0.335,avg_train_cost = 0.402, lastbatch_err = 0.383, time = 32.243,lr=0.00777822
4/23 10:8:51  step===25400, Epoch 6/1000, accuracy = 0.359,avg_train_cost = 0.384, lastbatch_err = 0.365, time = 105.423,lr=0.00777822
4/23 10:10:4  step===25450, Epoch 6/1000, accuracy = 0.370,avg_train_cost = 0.364, lastbatch_err = 0.354, time = 178.328,lr=0.00777822
4/23 10:11:17  step===25500, Epoch 7/1000, accuracy = 0.365,avg_train_cost = 0.250, lastbatch_err = 0.350, time = 10.516,lr=0.00777822
4/23 10:12:29  step===25550, Epoch 7/1000, accuracy = 0.362,avg_train_cost = 0.251, lastbatch_err = 0.357, time = 83.243,lr=0.00777822
4/23 10:13:43  step===25600, Epoch 7/1000, accuracy = 0.361,avg_train_cost = 0.253, lastbatch_err = 0.367, time = 156.375,lr=0.00777822
4/23 10:14:55  step===25650, Epoch 7/1000, accuracy = 0.382,avg_train_cost = 0.268, lastbatch_err = 0.353, time = 229.132,lr=0.00777822
4/23 10:16:8  step===25700, Epoch 8/1000, accuracy = 0.368,avg_train_cost = 0.250, lastbatch_err = 0.350, time = 56.695,lr=0.00777822
